time,alb_QAS_Lv3,lat_QAS_Lv3,lon_QAS_Lv3,cloud_QAS_Lv3
2022-08-30,0.1579,61.030653,-46.849476,0.2026
2022-08-31,0.1739,61.030653,-46.849476,0.1284
2022-09-01,0.1246,61.030653,-46.849476,0.7021
2022-09-02,0.123,61.030653,-46.849476,1.0
2022-09-03,0.1229,61.030653,-46.849476,0.9955
2022-09-04,0.1298,61.030653,-46.849476,0.6804
2022-09-05,0.1124,61.030653,-46.849476,0.9321
2022-09-06,0.1213,61.030653,-46.849476,0.8847
2022-09-07,0.145,61.030653,-46.849476,0.4642
2022-09-08,0.14,61.030653,-46.849476,0.3431
2022-09-09,0.1373,61.030653,-46.849476,0.2818
2022-09-10,0.1503,61.030653,-46.849476,0.2692
2022-09-11,0.1513,61.030653,-46.849476,0.5414
2022-09-12,0.1509,61.030653,-46.849476,0.6758
2022-09-13,0.1432,61.030653,-46.849476,0.4052
2022-09-14,0.1392,61.030653,-46.849476,0.3672
2022-09-15,0.1231,61.030653,-46.849476,0.9267
2022-09-16,0.1525,61.030653,-46.849476,0.9819
2022-09-17,0.1419,61.030653,-46.849476,0.8898
2022-09-18,0.1032,61.030653,-46.849476,0.7549
2022-09-19,0.1121,61.030653,-46.849476,0.5343
2022-09-20,0.1643,61.030653,-46.849476,0.2064
2022-09-21,0.1657,61.030653,-46.849476,0.2349
2022-09-22,0.1179,61.030653,-46.849476,0.9055
2022-09-23,0.1052,61.030653,-46.849476,1.0
2022-09-24,0.1128,61.030653,-46.849476,0.927
2022-09-25,0.1303,61.030653,-46.849476,0.908
2022-09-26,0.0969,61.030653,-46.849476,1.0
2022-09-27,0.1214,61.030653,-46.849476,1.0
2022-09-28,0.1213,61.030653,-46.849476,0.9782
2022-09-29,0.1242,61.030653,-46.849476,0.8094
2022-09-30,0.1447,61.030653,-46.849476,0.5531
2023-05-01,0.5331,61.030653,-46.849476,0.1084
2023-05-02,0.5267,61.030653,-46.849476,0.1482
2023-05-03,0.5317,61.030653,-46.849476,0.1437
2023-05-04,0.536,61.030653,-46.849476,0.2263
2023-05-05,0.5367,61.030653,-46.849476,0.2117
2023-05-06,0.5247,61.030653,-46.849476,0.3341
2023-05-07,0.5457,61.030653,-46.849476,0.6533
2023-05-08,0.5155,61.030653,-46.849476,0.4969
2023-05-09,0.5487,61.030653,-46.849476,0.73
2023-05-10,0.5482,61.030653,-46.849476,0.6839
2023-05-11,0.4906,61.030653,-46.849476,0.7829
2023-05-12,0.4807,61.030653,-46.849476,0.4131
2023-05-13,0.5171,61.030653,-46.849476,0.6699
2023-05-14,0.6499,61.030653,-46.849476,0.6227
2023-05-15,0.5087,61.030653,-46.849476,0.7081
2023-05-16,0.4081,61.030653,-46.849476,0.7524
2023-05-17,0.4178,61.030653,-46.849476,0.9523
2023-05-18,0.4718,61.030653,-46.849476,0.7869
2023-05-19,0.4021,61.030653,-46.849476,0.7827
2023-05-20,0.6627,61.030653,-46.849476,0.7321
2023-05-21,0.5669,61.030653,-46.849476,0.3897
2023-05-22,0.6947,61.030653,-46.849476,0.9823
2023-05-23,0.7071,61.030653,-46.849476,0.4777
2023-05-24,0.7364,61.030653,-46.849476,0.9376
